anlaeg,ejer,adresse,type,lat,lon,cvr,virk_navn,pno,branche,match_source,afregning_2023_kr,prod_opgrad_gj,prod_el_gj
Outrup Biogas ApS,DBC,Lundtangvej 165,Landbrug,55.70239244,8.37023621,45955222,DBC Greenfield 7 A/S,1031760883.0,Produktion af gas,punit_address,-24046759.94,280834.5533315512,
Langaa Bioenergi ApS,Langaa Bioenergi ApS,"Løjstrupvej 12B, 8870 Langå",,56.37347867,9.92230002,36576065,Specialpæd. konsulent P. Thesbjerg,1020271708.0,Anden undervisning i.a.n.,punit_address,-16343765.579999998,190688.2228221759,
Baunsgaard Agro ApS,Baunsgaard Agro ApS,"Mellemtoften 12, 7860 Spøttrup",Landbrug,56.59415401,8.74245616,27543391,Bertel Trærup,1010327829.0,Produktion af slagtesvin,punit_address,-493785.6299999999,,3358.3385534399995
Tønder Biogas A/S,Tønder Biogas A/S,"Midtmosevej 4, 6270 Tønder",,54.96596146,8.97599632,39427168,Copenhagen Infrastructure Service Company Aps - Tønder,1030909476.0,Virksomhedsrådgivning og anden ledelsesrådgivning,punit_address,-4817411.46,55119.12088731423,
Ringsted Biogas ApS,BioCirc,"Mulstrup Møllevej 10, 4100 Ringsted",Landbrug,55.41279352,11.82703324,15891076,ERNA OLSEN,1000995951.0,Kornavl,punit_address,-19066771.529999997,218155.2672285736,
Grønhøj Biogas A/S,BioCirc,"Mønstedvej 32A, Grønhøj, 7470 Karup J",Landbrug,56.37544113,9.21759613,40516263,Grønhøj Biogas Holding ApS,1024699281.0,Kombinerede administrationsserviceydelser,punit_address,-25724688.340000004,294332.80033716623,
Limfjordens Bioenergi ApS,Bigadan & E.ON,"Næssundvej 234, 7970 Redsted M",Landbrug,56.75303849,8.65745588,35378979,LIMFJORDENS BIOENERGI ApS - Produktion,1018898922.0,Produktion af gas,punit_address,-33220777.66,419377.6462548966,
Nature Energy Køng ApS,Nature Energy Køng ApS,"Næstvedvej 392, 4750 Lundby",Landbrug,55.09139134,11.82653176,69901417,GDR STIG JENSEN,1002308758.0,Blandet landbrugsdrift,punit_address,-38160804.54,436622.45064439625,
Gedstedgård Biogas ApS,Gedsted Varmeværk a.m.b.a,"Nørgaardsvej 50, 9631 Gedsted",,56.69990078,9.34185033,39990164,Sudergaard Landbrug Holding ApS,1024095203.0,Ikke-finansielle holdingselskaber,punit_address,-2684998.1699999995,,18261.229879152
Nature Energy Nordfyn A/S,Nature Energy Nordfyn A/S,"Odensevej 158, 5400 Bogense",Landbrug,55.52963956,10.12803096,30499522,EJENDOMSSELSKABET ODENSEVEJ 137 ApS,1013193750.0,Udlejning af erhvervsejendomme,punit_address,-66989186.2,766466.6137314338,
Kerteminde Biogas,Kerteminde Biogas,"Odensevej 250, 5300 Kerteminde",Landbrug,55.43632883,10.62916878,72047710,FLEMMING ROHDE,1005194761.0,Udlejning af erhvervsejendomme,punit_address,-8532385.929999998,103301.85494713033,
Lemvig Biogas amba,"Lemvig Varmeværk a.m.b.a, Lemvig Biogasanlæg A.M.B.A.","Pillevej 12, 7620 Lemvig",Landbrug,56.51691393,8.3132899,28450850,LEMVIG BIOGASANLÆG AMBA,1001630681.0,Produktion af gas,punit_address,-13182492.47,,89656.867220207
BioCirc Blåbjerg Biogas ApS. Forsvarets og forsvarsministeriets styrelser,BioCirc Blåbjerg Biogas ApS,"Præstbølvej 11, 6830 Nørre Nebel",Landbrug,55.77714053,8.31202737,43305077,BioCirc Blåbjerg biogas,1030052230.0,Virksomhedsrådgivning og anden ledelsesrådgivning,punit_address,-27063906.48,251962.16827187585,35661.722187298874
Henrik Clausen,Graugaard I/S,"Pøl Nørregade 31, 6430 Nordborg",,55.0691055,9.75903405,13036101,HENRIK CLAUSEN,1000488158.0,Udlejning af erhvervsejendomme,punit_address,-893218.27,,6074.96288293253
"Bigadan, Herning Bioenergi A/S",Arla Foods Ingredients Energy A/S,"Rosmosevej 4, 7400 Herning",,56.20818363,8.87772963,25809890,Herning Bioenergi A/S,1019201534.0,Produktion af gas,punit_address,-15676380.81,,106618.31947728
Skive Biogas ApS,Skive Biogas ApS,"Rudemøllevej 74, 7800 Skive",Landbrug,,,35663231,SKIVE BIOGAS ApS,,Produktion af gas,name,-3251202.01,,22112.099580038834
Rybjerg Biogas P/S,Rybjerg Biogas P/S,"Rustedmøllevej 1, 7870 Roslev",Landbrug,56.71949471,9.04698168,13818770,JENS HENRY CHRISTENSEN,1000630615.0,Produktion af slagtesvin,punit_address,-14375519.79,161251.55146961266,6108.861268223999
Gårdejer Carl Christian Bæk,Gårdejer Carl Christian Bæk,"Røngevej 3, 8860 Ulstrup",,56.39248092,9.75083908,39675951,Terapeuteriet,1023795368.0,Psykologisk og psykoterapeutisk rådgivning,punit_address,-493670.18999999994,,3357.5534628479995
