OriginalPesticideRowID,companyname,companyregistrationnumber,streetname,streetbuildingidentifier,flooridentifier,postcodeidentifier,city,acreagesize,acreageunit,name,code,pesticidename,pesticideregistrationnumber,dosagequantity,dosageunit,nopesticides,TotalMarkerArea,Difference_PesticideArea_MarkerArea,Percentage_Difference_Marker,TotalGKEAArea,Difference_PesticideArea_GKEAArea,Percentage_Difference_GKEA
174013,,30105249,Middelfartvej,105,nan,5610,Assens,242.04,2,Savoykål,421,,1-203,69.624,4,0,133.91,108.13,80.74826375924128,,,
157393,,27860532,Sepstrupvej,30A,nan,8653,Them,205.0,2,Juletræer og pyntegrønt,583,,48-16,617.0,4,0,101.96000000000001,103.03999999999999,101.05923891722242,,,
221635,,37534587,Drammelstrupvej,12,nan,8961,Allingåbro,132.05,2,Salat (friland),420,,561-3,29.25,2,0,44.93,87.12,193.90162474961053,,,
221636,,37534587,Drammelstrupvej,12,nan,8961,Allingåbro,132.05,2,Salat (friland),420,,361-1,8.55,4,0,44.93,87.12,193.90162474961053,,,
221639,,37534587,Drammelstrupvej,12,nan,8961,Allingåbro,132.05,2,Salat (friland),420,,18-407,111.0,2,0,44.93,87.12,193.90162474961053,,,
221640,,37534587,Drammelstrupvej,12,nan,8961,Allingåbro,132.05,2,Salat (friland),420,,526-13,14.1,2,0,44.93,87.12,193.90162474961053,,,
221642,,37534587,Drammelstrupvej,12,nan,8961,Allingåbro,132.05,2,Salat (friland),420,,18-549,30.4,4,0,44.93,87.12,193.90162474961053,,,
221643,,37534587,Drammelstrupvej,12,nan,8961,Allingåbro,132.05,2,Salat (friland),420,,19-151,14.85,2,0,44.93,87.12,193.90162474961053,,,
221645,,37534587,Drammelstrupvej,12,nan,8961,Allingåbro,132.05,2,Salat (friland),420,,19-219,13.5,4,0,44.93,87.12,193.90162474961053,,,
221647,,37534587,Drammelstrupvej,12,nan,8961,Allingåbro,132.05,2,Salat (friland),420,,1-195,11.94,4,0,44.93,87.12,193.90162474961053,,,
221648,,37534587,Drammelstrupvej,12,nan,8961,Allingåbro,132.05,2,Salat (friland),420,,364-67,13.2,4,0,44.93,87.12,193.90162474961053,,,
202560,,34353816,Rødbyvej,8,nan,4930,Maribo,419.15,2,"Kartofler, lægge- (certificerede)",149,,631-12,97.892,2,0,337.67,81.47999999999996,24.130067817691817,,,
